Classes,Definition,Questions
LOCATION,other loc,Where do the adventures of `` The Swiss Family Robinson '' take place ?
ENTITY,animal,What relative of the racoon is sometimes known as the cat-bear ?
DESCRIPTION,manner,How can I register my website in Yahoo for free ?
ENTITY,other entity,What was cash-conscious Colonel Edwin L. Drake the first to drill ?
NUMERIC,count,How many people in the world speak French ?
NUMERIC,count,How many inches over six feet is the Venus de Milo ?
DESCRIPTION,manner,How do they find or choose witnesses to an execution ?
HUMAN,ind,What 1920s cowboy star rode Tony the Wonder Horse ?
ENTITY,food,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
HUMAN,group,What ISPs exist in the Caribbean ?
DESCRIPTION,manner,How do you ask a total stranger out on a date ?
ENTITY,other entity,What weapon is the mythological character Apollo most proficient with ?
LOCATION,country,What country do the Galapagos Islands belong to ?
DESCRIPTION,definition,What is ethology ?
HUMAN,ind,Who was the prophet of the Muslim people ?
DESCRIPTION,description of st,Where did the term `` 86ed '' come from ?
HUMAN,ind,Who is Snoopy 's arch-enemy ?
DESCRIPTION,definition,What is the nature of learning ?
ENTITY,color,What 's the only color Johnny Cash wears on stage ?
ENTITY,term,What 's the term for a young fox ?
LOCATION,state,What U.S. state lived under six flags ?
DESCRIPTION,definition,What is the Kashmir issue ?
LOCATION,other loc,Where is the Loop ?
DESCRIPTION,definition,What does `` extended definition '' mean and how would one write a paper on it ?
LOCATION,country,What country 's capital is Tirana ?
DESCRIPTION,definition,What is titanium ?
HUMAN,ind,Who do Herb and Tootsie live next door to ?
LOCATION,city,Which city has the oldest relationship as a sisterðcity with Los Angeles ?
DESCRIPTION,definition,What is a caldera ?
DESCRIPTION,reason,Why do people get calluses ?
LOCATION,other loc,What are the names of the tourist attractions in Reims ?
DESCRIPTION,reason,What are Cushman and Wakefield known for ?
LOCATION,other loc,What body of water does the Danube River flow into ?
HUMAN,ind,Who is the founder of Scientology ?
ENTITY,other entity,What does the six-footed Musca domestica become when it enters a house ?
DESCRIPTION,description of st,What is the history of skateboarding ?
HUMAN,ind,Who starred in Singing in the Rain and The Singing Nun ?
DESCRIPTION,manner,How do I make fuel bricks from recycled newspaper ?
HUMAN,ind,What 19th-century painter died in the Marquesas Islands ?
ENTITY,body,The corpus callosum is in what part of the body ?
DESCRIPTION,manner,How do I log on to home page at Headquarters U.S. European Command ?
LOCATION,country,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP ."
ENTITY,other entity,What is Nebraska 's most valuable resource ?
NUMERIC,count,How many species of the Great White shark are there ?
DESCRIPTION,description of st,What is the origin of head lice ?
LOCATION,state,What is the nickname for the state of Mississippi ?
ENTITY,animal,What was the first domesticated bird ?
NUMERIC,count,How many villi are found in the small intestine ?
LOCATION,country,What country did King Wenceslas rule ?
ENTITY,dismed,What is a fear of shadows ?
HUMAN,ind,Who were the five Marx brothers ?
NUMERIC,date,In which year was New Zealand excluded from the ANZUS alliance ?
NUMERIC,date,When did CNN begin broadcasting ?
DESCRIPTION,reason,What causes the body to shiver in cold temperatures ?
DESCRIPTION,definition,What are bear and bull markets ?
ENTITY,creative,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?
DESCRIPTION,definition,What is `` dew point '' ?
DESCRIPTION,definition,What is the meaning of Jesus ?
HUMAN,group,What company 's logo is a `` W '' in a circle ?
DESCRIPTION,definition,What is the definition of a cascade ?
NUMERIC,date,When did Rococo painting and architecture flourish ?
LOCATION,country,What country 's national passenger rail system is called Via ?
HUMAN,ind,Who invented Make-up ?
DESCRIPTION,description of st,What is the origin of the word `` attic '' ?
DESCRIPTION,description of st,What did Delilah do to Samson 's hair ?
ENTITY,animal,What kind of animals were in the Paleozoic era ?
HUMAN,ind,Which of the following was Rhodes Scholar ?
HUMAN,ind,Who comprised the now-defunct comic book team known as the Champions ?
DESCRIPTION,manner,How do you make a paintball ?
LOCATION,state,What U.S. state is Fort Knox in ?
ENTITY,animal,What is a female rabbit called ?
LOCATION,mount,Where is the highest point in Japan ?
DESCRIPTION,description of st,Where do chihuahuas come from ?
LOCATION,other loc,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
LOCATION,other loc,What are the world 's four oceans ?
ENTITY,creative,What 's the only work by Michelangelo that bears his signature ?
ENTITY,animal,What is the largest snake in the world ?
ENTITY,creative,In what medium is Stuart Hamblen considered to be the first singing cowboy ?
LOCATION,other loc,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?
NUMERIC,money,How much money does a back injury lawsuit get ?
ENTITY,term,What 's the common name for acetylsalicylic acid ?
DESCRIPTION,definition,What does the Georgetown `` Hoya '' mean ?
LOCATION,other loc,Where can I find a list of `` classic '' books 5th and 6th graders should read ?
ENTITY,product,Which two products use a tiger as their symbol ?
DESCRIPTION,manner,How is the election of a new Pope announced to the world ?
NUMERIC,period,How long does it take for your blood to make one complete trip through the body ?
DESCRIPTION,manner,How do chickens have baby chicks ?
DESCRIPTION,description of st,What is the historical relationship of Catholic Church and bingo ?
DESCRIPTION,manner,How was the element calcium named ?
HUMAN,ind,What crooner joined The Andrews Sisters for Pistol Packin Mama ?
HUMAN,group,What piano company claims its product is the `` Instrument of the immortals '' ?
NUMERIC,date,When did the Bounty mutiny take place ?
ENTITY,creative,What novel inspired the movie BladeRunner ?
DESCRIPTION,definition,What is a transistor ?
ENTITY,creative,What is a film starring Jude Law ?
ENTITY,animal,What Hollywood dog died in the arms of Jean Harlow in 1932 ?
ENTITY,substance,What are the most common elements in the Earth 's crust ?
NUMERIC,money,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?"
HUMAN,ind,What actress has received the most Oscar nominations ?
DESCRIPTION,definition,What are equity securities ?
DESCRIPTION,definition,What is gymnophobia ?
NUMERIC,count,How many years do fossils take to form ?
LOCATION,other loc,Where is the Orinoco ?
ENTITY,animal,What was the name of the `` Little Rascals '' dog ?
LOCATION,city,"What city boasts Penn 's Landing , on the banks of the Delaware river ?"
ENTITY,creative,What Broadway musical was inspired by Cervantes 's Don Quixote ?
DESCRIPTION,description of st,"What is the origin of the word , JJ ."
NUMERIC,count,How many hostages were killed in the Entebbe raid ?
DESCRIPTION,manner,How you can raise your IQ ?
ABBREVIATION,exp,What does INRI stand for when used on Jesus ' cross ?
HUMAN,group,Who produces Spumante ?
HUMAN,ind,Who earns their money the hard way ?
HUMAN,ind,Who founded the People 's Temple Commune ?
HUMAN,ind,What athlete makes the most money from sports merchandise sales ?
NUMERIC,count,How many bends are there in a standard paper clip ?
HUMAN,ind,Who discovered electricity ?
ENTITY,body,What part of your body contains the corpus callosum ?
HUMAN,ind,Who was the first American in space ?
LOCATION,country,What two South American countries do n't border Brazil ?
ENTITY,creative,What album put The Beatles on the cover of Time in 1967 ?
ENTITY,creative,"What poem contains the line , `` grow old with me the best is yet to be '' ."
DESCRIPTION,definition,What is a dental root canal ?
ENTITY,event,What war did the Wanna-Go-Home Riots occur after ?
NUMERIC,date,What is the busiest air travel season ?
ENTITY,body,What 's the colored part of the eye called ?
DESCRIPTION,definition,What are hook worms ?
LOCATION,other loc,Where is the Rose Bowl played ?
HUMAN,group,Which Japanese car maker had its biggest percentage of sale in the domestic market ?
HUMAN,ind,Who is the mayor of Marbella ?
LOCATION,other loc,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?"
NUMERIC,date,In what year did Thatcher become prime minister ?
NUMERIC,count,How many months does it take the moon to revolve around the Earth ?
LOCATION,other loc,Where are the 49 steps ?
NUMERIC,date,In what year was De Gaulle elected president of France ?
HUMAN,ind,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
HUMAN,ind,Who directed `` Jaws '' ?
ENTITY,creative,On what T.V. show could Tom Terrific be found ?
HUMAN,group,What Indian tribe is F Troop perpetually doing battle with ?
DESCRIPTION,description of st,Where did Indian Pudding come from ?
DESCRIPTION,reason,Why do some clothing labels say `` Use a nonchlorine bleach '' ?
NUMERIC,count,How many colonies were involved in the American Revolution ?
LOCATION,city,What is the name of the city that Maurizio Pellegrin lives in ?
LOCATION,other loc,Where can I find pictorial directions on how to build a very simple treehouse ?
ENTITY,sport,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?"
HUMAN,ind,What is the name of the managing director of Apricot Computer ?
HUMAN,title,What is the occupation of Nicholas Cage ?
DESCRIPTION,reason,Why do horseshoes bring luck ?
DESCRIPTION,definition,"What is the 401 , K , plan ?"
DESCRIPTION,reason,What causes pneumonia ?
NUMERIC,date,What are the three winter months in the southern hemisphere ?
DESCRIPTION,definition,What does gringo mean ?
LOCATION,country,What country contains Africa 's northernmost point ?
ENTITY,dismed,What therapy attempts to elicit the `` primal scream '' ?
LOCATION,other loc,Where is the Kalahari desert ?
HUMAN,group,Which Ventura County police department seized the largest cocaine shipment in it 's history ?
LOCATION,city,What city is sometimes called Gotham ?
ENTITY,body,What dangles over the tongue from the palate ?
HUMAN,ind,Who created Dennis the Menace ?
HUMAN,ind,What dummy received an honorary degree from Northwestern University ?
NUMERIC,date,When was the first Wall Street Journal published ?
LOCATION,country,What countries have the largest areas of forest ?
DESCRIPTION,manner,How do I start a web based business ?
HUMAN,ind,Name Alvin 's brothers
DESCRIPTION,definition,What is Eagle 's syndrome styloid process ?
DESCRIPTION,manner,How did Jayne Mansfield die ?
NUMERIC,date,When did the royal wedding of Prince Andrew and Fergie take place ?
HUMAN,ind,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?
HUMAN,ind,What explorer was nicknamed Iberia 's Pilot ?
NUMERIC,date,CNN began broadcasting in what year ?
ENTITY,term,What is a ball that hits the foul pole called ?
DESCRIPTION,reason,What makes hamburgers taste like steakburgers ?
HUMAN,group,Which company created the Internet browser Mosaic ?
ENTITY,event,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?
ENTITY,other entity,What was the education system in the 1960 's ?
LOCATION,city,What South American city has the world 's highest commercial landing field ?
DESCRIPTION,manner,How can I find out which cities have cable-modem access ?
DESCRIPTION,reason,What is Betsy Ross famous for ?
NUMERIC,count,How many species of sharks are there ?
DESCRIPTION,definition,What is `` snoogans '' ?
NUMERIC,count,How many people are there in the world ?
ENTITY,plant,What shrubs can be planted that will be safe from deer ?
HUMAN,group,What organization 's offices were broken into at Watergate in 1972 ?
DESCRIPTION,description of st,What is the design of the ship Titanic ?
ABBREVIATION,exp,What does S.O.S. stand for ?
ENTITY,techmeth,Name a technique widely used to detect birth defects ?
DESCRIPTION,description of st,What is the daily requirement of folic acid for an expectant mother ?
DESCRIPTION,definition,What is the `` 7-minute cigarette '' ?
ENTITY,other entity,What four forms does gold occur in ?
NUMERIC,volsize,What is the acreage of the Chappellet vineyard ?
DESCRIPTION,manner,How do you correctly say the word ` qigong ' ?
NUMERIC,date,When did beethoven die ?
NUMERIC,money,How much does a new railroad coal car cost ?
LOCATION,country,What two European countries entered the War of American Independence against the British ?
DESCRIPTION,definition,What is the filmmakers collabrative ?
HUMAN,ind,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
DESCRIPTION,reason,What caused Harry Houdini 's death ?
HUMAN,ind,"Who was the mother of the man who would not be king , the duke of Windsor ?"
NUMERIC,count,How many revolutions does a standard LP make in three minutes ?
LOCATION,mount,What is the name of the tallest mountain in the world ?
LOCATION,other loc,Where can I find a review of Nightmare on Elm Street in a film journal ?
ENTITY,techmeth,What 's the slowest Olympic swimming stroke ?
HUMAN,ind,What was the name of the first Russian astronaut to do a spacewalk ?
ENTITY,dismed,What disease is transmitted by the Anopheles mosquito ?
ENTITY,food,What rum is so `` mixable '' it is a one-brand bar ?
NUMERIC,count,How many South American countries have the letter Z in their names ?
DESCRIPTION,definition,What is the contents of proposition 98 ?
LOCATION,other loc,Where was George Washington born ?
NUMERIC,count,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD ."
HUMAN,ind,Who wrote NN DT NNP NNP '' ?
DESCRIPTION,definition,What is paracetamol ?
DESCRIPTION,description of st,What are the powers and weaknesses of Green Lantern 's ring ?
ENTITY,animal,"Which mosquito 's bite draws blood , DT NN CC DT NN ."
NUMERIC,date,When was the first steel mill in the United States built ?
HUMAN,ind,What diminutive American female gymnast stole the show at the 1984 Olympics ?
DESCRIPTION,description of st,What is the origin of the name Katie ?
HUMAN,group,"What schools in the Washington , DC NN NN VBP NN NN NN NN ."
NUMERIC,date,When did the Berlin Wall go up ?
HUMAN,description human,Who is Terrence Malick ?
ENTITY,instru,What instrument is Ray Charles best known for playing ?
DESCRIPTION,definition,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
ENTITY,other entity,What is the mascot for Notre Dame University ?
LOCATION,other loc,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?"
NUMERIC,date,When did Mount St. Helen last have a significant eruption ?
ABBREVIATION,exp,CNN is the abbreviation for what ?
NUMERIC,date,When did World War I start ?
NUMERIC,count,How many feet are there in a fathom ?
DESCRIPTION,definition,What is a Canada two-penny black ?
LOCATION,city,What European city do Nicois live in ?
DESCRIPTION,manner,How can I find out what year a Beanie Baby was introduced ?
DESCRIPTION,definition,What is the classic definition of tragic hero ?
ENTITY,other entity,To what does Microsoft 's Windows 3 owe its success ?
HUMAN,ind,Who was President of Afghanistan in 1994 ?
ENTITY,techmeth,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
ENTITY,food,What did brontosauruses eat ?
ENTITY,color,What color bottles do good Rhine wines come in ?
HUMAN,ind,Who was the lead actress in the movie ` Sleepless in Seattle ' ?
HUMAN,ind,Who was the 16th President of the United States ?
HUMAN,ind,Who are the two sons of Ozzie and Harriet Nelson ?
DESCRIPTION,definition,What is molybdenum ?
NUMERIC,date,When is Boxing Day ?
ENTITY,other entity,What is the lowest level of the American judiciary ?
NUMERIC,date,When was the battle of the Somme fought ?
NUMERIC,count,How many people did Randy Craft kill ?
ENTITY,animal,What 's the official animal of Canada ?
NUMERIC,date,When did Spielberg direct `` Jaws '' ?
NUMERIC,volsize,What is the size of the largest akita ?
ENTITY,animal,What animal has the biggest eyes ?
LOCATION,city,What is California 's capital ?
HUMAN,ind,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?
HUMAN,ind,Who was the founding member of the Pink Floyd band ?
LOCATION,country,What European country is home to the beer-producing city of Budweis ?
DESCRIPTION,manner,How do I find the balance of my social security account ?
DESCRIPTION,description of st,What is the history of Valentine 's Day cards ?
LOCATION,other loc,Where was Christopher Columbus born ?
ENTITY,term,What do Italians call Florence ?
DESCRIPTION,manner,How do you get to the top of the Eiffel Tower ?
ABBREVIATION,exp,What does ` PSI ' stand for ?
LOCATION,other loc,What sea did the Romans call mare nostrum ?
ENTITY,term,What 's the term for a bet before cards are dealt ?
ENTITY,animal,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?"
LOCATION,city,What city did the Flintstones live in ?
ENTITY,term,What is Latin for incompetent ?
ENTITY,dismed,What chemicals are used in lethal injection ?
HUMAN,group,What toy company is the world 's No.1 maker of female apparel ?
ENTITY,sport,What board game does a `` wood-pusher '' play poorly ?
HUMAN,ind,Which Doonesbury character was likely to turn into a werewolf ?
ABBREVIATION,abb,What is the abbreviation for micro ?
ENTITY,other entity,What are the 7 articles of the constitution ?
HUMAN,group,Who has won the most Super Bowls ?
ABBREVIATION,exp,What does NASDAQ stand for ?
ABBREVIATION,exp,What is BPH ?
ENTITY,other entity,What is the fastest commercial automobile that can be bought in the US ?
LOCATION,other loc,What stadium do the Miami Dolphins play their home games in ?
HUMAN,ind,Who has the only speaking role in `` Silent Movie '' ?
DESCRIPTION,reason,Why is poop sometimes different colors ?
NUMERIC,other num,What was Einstein 's IQ ?
NUMERIC,date,What day was Pearl Harbor attacked in 1942 ?
HUMAN,ind,What girl 's name is `` Teddy '' an affectionate form of ?
LOCATION,state,What state is John F. Kennedy buried in ?
ENTITY,techmeth,What is the best way to remove wallpaper ?
LOCATION,state,What U.S. state has an element named for it ?
HUMAN,group,What company tabulates the ballots in voting for the Academy Awards ?
DESCRIPTION,manner,How did the tradition of best man start ?
NUMERIC,count,How many years ago did the ship Titanic sink ?
LOCATION,other loc,What is the deepest area of the Arctic Ocean ?
ENTITY,color,What are Halloween 's colors ?
DESCRIPTION,manner,How is silk screening done ?
NUMERIC,other num,"What is the latitude and longitude of El Paso , Texas ?"
HUMAN,ind,Who made a boat out of gopher wood ?
LOCATION,other loc,Where can I find a `` Fifth Element '' screensaver ?
HUMAN,ind,Which Bloom County resident wreaks havoc with a computer ?
DESCRIPTION,manner,How do you match a name to a social security number ?
DESCRIPTION,manner,How does a rainbow form ?
NUMERIC,other num,What is the normal resting heart rate of a healthy adult ?
NUMERIC,other num,What is the population of Ohio ?
NUMERIC,count,How many calories are there in a Big Mac ?
DESCRIPTION,definition,Hazmat stands for what ?
ENTITY,animal,What creature scares people in the film `` Jaws '' ?
HUMAN,ind,What part did John Peter Zenger play in the deveopment of the newspaper in America ?
HUMAN,ind,Who followed Caesar ?
ENTITY,substance,What are the four elements ?
HUMAN,ind,Who was the first woman golfer to earn a million ?
ENTITY,other entity,What 's the tallest piece on a chessboard ?
LOCATION,other loc,What is Answers.com 's address ?
LOCATION,other loc,Where can I buy movies on videotape online ?
HUMAN,ind,Who does the advertizing for Frito-Lay ?
HUMAN,group,Who is the leading competitor of Trans Union Company ?
ENTITY,product,What product did Robert Conrad dare people to knock off his shoulder ?
HUMAN,ind,Who invented the radio ?
NUMERIC,count,What 's the American dollar equivalent for 8 pounds in the U.K. ?
ENTITY,techmeth,What are the different approaches of systems analysis ?
DESCRIPTION,manner,How do doctors diagnose bone cancer ?
HUMAN,ind,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?
NUMERIC,speed,What is the speed of the Mississippi River ?
ENTITY,other entity,What are the developmental stages of a swimmer ?
HUMAN,ind,What actor first portrayed James Bond ?
LOCATION,other loc,What ocean is the largest in the world ?
HUMAN,ind,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?"
NUMERIC,date,What year did Jack Nicklaus join the Professional Golfers Association tour ?
NUMERIC,count,How many sonnets did Shakespeare write ?
DESCRIPTION,reason,What causes the redness in your cheeks when you blush ?
HUMAN,ind,Who won the Nobel Peace Prize in 1991 ?
HUMAN,group,Who are the Challengers of the Unknown ?
DESCRIPTION,definition,Define the Pheonix Club ?
LOCATION,city,Which city did Christian Crusaders fight to recapture from the Muslims ?
DESCRIPTION,definition,What does it mean `` Rupee Depreciates '' ?
ENTITY,other entity,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?
HUMAN,ind,Who was the first coach of the Cleveland Browns ?
DESCRIPTION,manner,How successful is arometherapy ?
ENTITY,event,What Jewish holiday saw the start of the 1973 Mideast War ?
DESCRIPTION,manner,How does a copier work ?
NUMERIC,speed,What is the speed of the Mississippi River ?
HUMAN,ind,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
ENTITY,animal,What is Dudley Do-Right 's horse 's name ?
HUMAN,ind,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?
LOCATION,other loc,Where does chocolate come from ?
ENTITY,creative,What TV game show once saw a contestant admit to picking his toes in the shower ?
HUMAN,ind,What Soviet leader owned a Rolls-Royce ?
LOCATION,other loc,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
ENTITY,event,What war did Florence Nightingale tend the troops in ?
HUMAN,ind,"Who wrote the song , `` Stardust '' ?"
NUMERIC,count,How many Beatles ' records went #1 ?
HUMAN,ind,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
ABBREVIATION,abb,What is the abbreviation of the company name ` General Motors ' ?
LOCATION,mount,What mountains lie between the Arkansas and Missouri rivers ?
HUMAN,ind,Who received the Will Rogers Award in 1989 ?
DESCRIPTION,reason,What is the function of RAM ?
LOCATION,other loc,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?
NUMERIC,count,How many equal angles are there in an isosceles triangle ?
ENTITY,dismed,What is the fear of cockroaches called ?
ENTITY,creative,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?
DESCRIPTION,description of st,What is the use of a 24-hour clock instead of a 12-hour clock ?
HUMAN,ind,What was the name of the lawyer who represented Randy Craft ?
HUMAN,ind,What United States President had dreamed that he was assassinated ?
ENTITY,creative,What film did Lee Marvin win the 1965 best actor Oscar for ?
LOCATION,other loc,Where is Basque country located ?
ENTITY,product,What product does `` Mrs. Olsen '' promote ?
NUMERIC,date,What time of day did Emperor Hirohito die ?
DESCRIPTION,definition,What is dry ice ?
ENTITY,other entity,What 's the most powerful card in Euchre ?
DESCRIPTION,definition,What does `` intractable plantar keratoma '' mean ?
NUMERIC,count,How many years did it take James Joyce to write Ulysses ?
ENTITY,food,What crop failure caused the Irish Famine ?
LOCATION,city,What South Korean city is served by Kimpo International Airport ?
NUMERIC,count,How many types of dogs ' tails are there - three
ENTITY,creative,What is the longest-running television series ?
ENTITY,animal,What predators exist on Antarctica ?
DESCRIPTION,description of st,What is the difference between a generator and an alternator ?
DESCRIPTION,manner,How is energy created ?
ENTITY,food,What beer advertised that it had `` three rings '' ?
NUMERIC,other num,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?
ENTITY,techmeth,What golfing accessory was patented by George Grant on December 12
ENTITY,other entity,What are the different types of plastic ?
DESCRIPTION,manner,How is it correct to say ` qigong ' ?
LOCATION,mount,What was the highest mountain on earth before Mount Everest was discovered ?
LOCATION,other loc,"Where was the Ligurian Republic , 1797-185 , ?"
LOCATION,country,What country 's people are the top television watchers ?
NUMERIC,date,When was the women 's suffrage amendment ratified ?
HUMAN,group,What Polynesian people inhabit New Zealand ?
ENTITY,creative,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?
LOCATION,city,What Nevada center has been dubbed The Biggest Little City in the World ?
HUMAN,ind,"What President lived at 219 North Delaware Street , Independence , Missouri ?"
DESCRIPTION,reason,Give a reason for American Indians oftentimes dropping out of school .
LOCATION,other loc,Where must a soccer goalie stand to be permitted to handle the ball ?
DESCRIPTION,description of st,What is the difference between classical conditioning and operant conditioning ?
LOCATION,state,In what U.S. state was the first woman governor elected ?
DESCRIPTION,description of st,What are some interesting facts and information about dogsledding ?
NUMERIC,date,What year did Hitler die ?
HUMAN,ind,What famous model was married to Billy Joel ?
ENTITY,animal,What kind of animal is Babar ?
DESCRIPTION,reason,What is Jane Goodall known for ?
ENTITY,other entity,What killed Bob Marley ?
NUMERIC,money,How much money are Dumbo 's ears insured for ?
HUMAN,ind,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?
HUMAN,description human,Who is Stein Eriksen ?
DESCRIPTION,definition,What does the name Billie mean ?
HUMAN,ind,Who is the fastest swimmer in the world ?
LOCATION,mount,What is the highest peak in Africa ?
LOCATION,other loc,Where is Procter & Gamble headquartered in the U.S. ?
LOCATION,other loc,What desert has been called The Garden of Allah ?
ENTITY,other entity,What do bicornate animals have two of ?
DESCRIPTION,reason,What function does a community 's water tower serve ?
ENTITY,dismed,What is a fear of weakness ?
NUMERIC,count,How many miles is it to Ohio from North Carolina ?
NUMERIC,count,How much snow equals an inch of rain ?
ABBREVIATION,exp,What does G.M.T. stand for ?
DESCRIPTION,definition,What does Inuit and Eskimo mean ?
ENTITY,creative,What song served as the closing theme of The Johnny Cash Show ?
ENTITY,sport,What field sport did dentist William Beers promote and write a standard book of rules for ?
DESCRIPTION,manner,How do I tie dye clothes ?
NUMERIC,date,When does the average teenager first have intercourse ?
DESCRIPTION,reason,Why doesn 't www.answers.com have any answers to my questions ?
HUMAN,ind,What actor 's autobiography is titled All My Yesterdays ?
HUMAN,ind,What Russian master spy lived in the U.S. under the name Emil Goldfus ?
LOCATION,other loc,Where 's the 19th hole on a golf course ?
DESCRIPTION,reason,What 's nature 's purpose for tornadoes ?
HUMAN,ind,Who played the original Charlie 's Angels ?
LOCATION,other loc,Where can I find a person 's address from a telephone number ?
ENTITY,word,"What English word comes from the Old French covrefeu , meaning cover fire ?"
ENTITY,instru,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
LOCATION,other loc,Where did Sarge Steel get his metal hand ?
DESCRIPTION,reason,What makes popcorn pop ?
HUMAN,ind,Who wrote The Night of the Iguana ?
ENTITY,body,Where does your hair grow the fastest ?
LOCATION,country,What country did King Gustav V reign over from 197 to 195 ?
HUMAN,ind,Who painted Mother and Child ?
NUMERIC,speed,What is the speed of the Mississippi River ?
LOCATION,other loc,In what area of the world was the Six Day War fought ?
LOCATION,other loc,What is the brightest star visible from Earth ?
ENTITY,creative,What film marked Robert Redford 's directorial debut ?
HUMAN,ind,What was Mao 's second name ?
ENTITY,creative,What film or films has Jude Law appeared in ?
LOCATION,other loc,Where do hyenas live ?
HUMAN,description human,Who is the `` Queen Mother '' ?
ENTITY,lang,What 's the most commonly-spoken language in Belgium ?
HUMAN,ind,Who has more DNA - a man or a woman ?
DESCRIPTION,definition,What are Maid-Rites ?
ENTITY,creative,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?"
HUMAN,group,What level of government or governmental agency is responsible for dealing with racism ?
NUMERIC,count,How many referees work a soccer game ?
ENTITY,food,What cocktail do you concoct with whisky and sweet vermouth ?
ENTITY,term,How do you say `` fresh '' in Spanish ?
DESCRIPTION,description of st,What do bee hives do in cranberry bogs ?
DESCRIPTION,reason,What caused the Lynmouth floods ?
NUMERIC,date,When is the Tulip Festival in Michigan ?
HUMAN,ind,"Who came up with the name , El Nino ?"
ENTITY,creative,What movie did Madilyn Kahn star in with Gene Wilder ?
ENTITY,other entity,What type of bridge is the Golden Gate Bridge ?
